journal_title,year,n_articles,n_empirical,n_quantitative,n_inference,n_claim,n_empirical_claim,n_screen,n_strict,pct_empirical,pct_quantitative,pct_inference,pct_claim,pct_claim_all,pct_screen,pct_strict
Brazilian Political Science Review,2007,8,6,4,3,7,6,3,0,75,66.7,75,100,87.5,37.5,0
Brazilian Political Science Review,2008,10,6,6,3,8,6,5,0,60,100,50,100,80,50,0
Brazilian Political Science Review,2009,9,5,3,0,7,5,1,0,55.6,60,0,100,77.8,11.1,0
Brazilian Political Science Review,2010,9,7,7,2,7,7,3,0,77.8,100,28.6,100,77.8,33.3,0
Brazilian Political Science Review,2011,10,10,7,5,10,10,5,0,100,70,71.4,100,100,50,0
Brazilian Political Science Review,2012,10,10,9,5,10,10,5,1,100,90,55.6,100,100,50,20
Brazilian Political Science Review,2013,16,13,7,2,12,12,2,1,81.2,53.8,28.6,92.3,75,12.5,50
Brazilian Political Science Review,2014,14,11,8,3,11,11,4,0,78.6,72.7,37.5,100,78.6,28.6,0
Brazilian Political Science Review,2015,13,11,9,6,11,11,8,2,84.6,81.8,66.7,100,84.6,61.5,25
Brazilian Political Science Review,2016,21,16,13,7,17,16,8,0,76.2,81.2,53.8,100,81,38.1,0
Brazilian Political Science Review,2017,16,14,12,4,15,14,6,1,87.5,85.7,33.3,100,93.8,37.5,16.7
Brazilian Political Science Review,2018,18,17,10,4,17,17,5,1,94.4,58.8,40,100,94.4,27.8,20
Brazilian Political Science Review,2019,17,16,13,9,15,15,11,1,94.1,81.2,69.2,93.8,88.2,64.7,9.1
Brazilian Political Science Review,2020,13,11,8,4,11,10,5,2,84.6,72.7,50,90.9,84.6,38.5,40
Brazilian Political Science Review,2021,15,15,9,3,15,15,6,0,100,60,33.3,100,100,40,0
Brazilian Political Science Review,2022,17,16,13,9,16,16,9,1,94.1,81.2,69.2,100,94.1,52.9,11.1
Brazilian Political Science Review,2023,18,17,12,5,18,17,8,3,94.4,70.6,41.7,100,100,44.4,37.5
Brazilian Political Science Review,2024,15,14,9,5,14,14,6,0,93.3,64.3,55.6,100,93.3,40,0
Brazilian Political Science Review,2025,19,16,12,6,16,16,8,0,84.2,75,50,100,84.2,42.1,0
Contexto Internacional,2005,11,5,1,0,6,5,1,0,45.5,20,0,100,54.5,9.1,0
Contexto Internacional,2006,11,5,2,0,9,5,1,0,45.5,40,0,100,81.8,9.1,0
Contexto Internacional,2007,9,9,1,0,9,9,0,0,100,11.1,0,100,100,0,NA
Contexto Internacional,2008,19,11,3,0,12,11,1,0,57.9,27.3,0,100,63.2,5.3,0
Contexto Internacional,2009,15,9,4,0,11,9,1,0,60,44.4,0,100,73.3,6.7,0
Contexto Internacional,2010,19,15,6,0,16,14,1,0,78.9,40,0,93.3,84.2,5.3,0
Contexto Internacional,2011,18,13,3,0,15,12,0,0,72.2,23.1,0,92.3,83.3,0,NA
Contexto Internacional,2012,18,12,6,0,13,12,0,0,66.7,50,0,100,72.2,0,NA
Contexto Internacional,2013,17,12,0,0,14,12,0,0,70.6,0,NA,100,82.4,0,NA
Contexto Internacional,2014,20,14,5,0,19,14,1,0,70,35.7,0,100,95,5,0
Contexto Internacional,2015,30,25,9,0,26,23,1,0,83.3,36,0,92,86.7,3.3,0
Contexto Internacional,2016,31,28,11,2,30,28,3,1,90.3,39.3,18.2,100,96.8,9.7,33.3
Contexto Internacional,2017,30,26,7,0,27,25,1,0,86.7,26.9,0,96.2,90,3.3,0
Contexto Internacional,2018,24,19,9,1,21,18,2,0,79.2,47.4,11.1,94.7,87.5,8.3,0
Contexto Internacional,2019,24,18,7,1,19,18,1,0,75,38.9,14.3,100,79.2,4.2,0
Contexto Internacional,2020,21,16,5,1,19,16,1,0,76.2,31.2,20,100,90.5,4.8,0
Contexto Internacional,2021,21,19,11,0,20,19,0,0,90.5,57.9,0,100,95.2,0,NA
Contexto Internacional,2022,30,23,4,0,25,23,0,0,76.7,17.4,0,100,83.3,0,NA
Contexto Internacional,2023,29,22,6,1,23,22,2,0,75.9,27.3,16.7,100,79.3,6.9,0
Contexto Internacional,2024,26,18,3,1,18,16,1,0,69.2,16.7,33.3,88.9,69.2,3.8,0
Contexto Internacional,2025,33,26,8,1,31,25,1,0,78.8,30.8,12.5,96.2,93.9,3,0
Dados,2005,23,21,13,5,21,21,6,0,91.3,61.9,38.5,100,91.3,26.1,0
Dados,2006,26,20,15,5,21,20,6,0,76.9,75,33.3,100,80.8,23.1,0
Dados,2007,25,21,11,5,20,20,7,0,84,52.4,45.5,95.2,80,28,0
Dados,2008,29,27,15,6,26,25,10,0,93.1,55.6,40,92.6,89.7,34.5,0
Dados,2009,28,23,15,8,27,23,9,0,82.1,65.2,53.3,100,96.4,32.1,0
Dados,2010,25,20,11,3,21,20,6,0,80,55,27.3,100,84,24,0
Dados,2011,25,19,11,7,21,18,8,0,76,57.9,63.6,94.7,84,32,0
Dados,2012,30,26,17,5,26,26,9,1,86.7,65.4,29.4,100,86.7,30,11.1
Dados,2013,29,25,14,6,27,25,7,0,86.2,56,42.9,100,93.1,24.1,0
Dados,2014,32,24,10,4,25,24,5,1,75,41.7,40,100,78.1,15.6,20
Dados,2015,30,29,20,7,28,28,11,0,96.7,69,35,96.6,93.3,36.7,0
Dados,2016,33,29,19,9,30,28,10,1,87.9,65.5,47.4,96.6,90.9,30.3,10
Dados,2017,30,27,18,9,26,25,10,0,90,66.7,50,92.6,86.7,33.3,0
Dados,2018,28,25,11,8,26,25,9,1,89.3,44,72.7,100,92.9,32.1,11.1
Dados,2019,28,28,21,13,27,27,16,3,100,75,61.9,96.4,96.4,57.1,18.8
Dados,2020,28,19,13,7,21,18,10,0,67.9,68.4,53.8,94.7,75,35.7,0
Dados,2021,27,25,14,4,24,24,7,1,92.6,56,28.6,96,88.9,25.9,14.3
Dados,2022,26,23,13,3,24,21,7,0,88.5,56.5,23.1,91.3,92.3,26.9,0
Dados,2023,28,24,16,5,23,21,9,0,85.7,66.7,31.2,87.5,82.1,32.1,0
Dados,2024,33,33,28,10,33,33,16,1,100,84.8,35.7,100,100,48.5,6.2
Dados,2025,59,54,35,13,55,51,20,1,91.5,64.8,37.1,94.4,93.2,33.9,5
